(7 jan 2017)
test-acc: 81.20%
75,000 backpropagations
validation every 200 backprops

modelparameters: "param-convnets/param-allclasses"

 0:	22.58%	 3.46%
 1:	22.55%	 8.51%
 2:	20.00%	 4.26%
 3:	33.00%	10.90%
 4:	 6.93%	 2.13%
 5:	13.68%	 4.26%
 6:	 9.62%	 3.72%
 7:	14.95%	 8.24%
 8:	 6.54%	 1.86%
 9:	50.52%	 9.04%
10:	32.67%	 5.32%
11:	30.69%	 3.46%
12:	 7.45%	 2.13%
13:	20.39%	 5.32%
14:	25.84%	13.56%
15:	 5.10%	 0.80%
16:	 7.77%	 2.39%
17:	27.08%	 6.12%
18:	16.13%	 2.13%
19:	 6.73%	 2.39%

