train_loss;val_loss;val_acc;dt
0,7343867929;0,6520831413;0,8019067797;40,7633140087
0,6809017269;0,6494473406;0,813559322;43,3331840038
0,6822147988;0,6489138128;0,8193855932;40,885630846
0,7003032805;0,6743042861;0,8061440678;40,9070589542
0,6758484475;0,644756645;0,8193855932;42,055311203
0,6897251059;0,628552304;0,8109110169;41,1143169403
0,6964952306;0,661757504;0,8125;41,3400399685
0,6765114099;0,6753311511;0,8066737288;41,3327610493
0,6897639889;0,6611262865;0,811970339;40,749065876
0,6601793556;0,6986027315;0,7944915254;40,8847990036
0,6409055907;0,6389576815;0,8077330508;40,7483479977
0,6473490134;0,668732091;0,8056144068;40,6585509777
0,6759113307;0,6656287655;0,8066737288;41,3019680977
0,6838884099;0,6755305099;0,8024364407;41,1524322033
0,6627431171;0,6315805361;0,8162076271;41,2960309982
0,6552739955;0,6408092167;0,8172669492;41,0351228714
0,6572506014;0,6619755484;0,8093220339;40,9893519878
0,6822620457;0,642268639;0,8156779661;41,0131280422
0,6739300348;0,6631146919;0,8125;41,0107901096
0,6616316846;0,6279741612;0,8278601695;40,9315869808
0,6493199886;0,6284855912;0,8230932203;41,1557018757
0,6554726331;0,6137972823;0,8283898305;41,1603019238
0,6349485528;0,6172386223;0,8204449153;40,9926321507
0,6614363682;0,6314712864;0,8156779661;41,1219830513
0,6396427509;0,6590801182;0,8146186441;42,7654538155
0,6470963068;0,6361274232;0,8162076271;40,9999160767
0,6312638315;0,6455393181;0,8162076271;40,9951469898
0,6230304322;0,6381018427;0,8193855932;41,0167908669
0,6433386199;0,6135645716;0,8209745763;40,9913909435
0,6324373524;0,6159120311;0,8246822034;41,1034889221
0,6340960765;0,6568874772;0,813559322;41,4369299412
0,657339749;0,6232460363;0,8215042373;41,0285589695
0,6194355008;0,6155979684;0,8183262712;41,0170099735
0,6421285471;0,6359467107;0,8098516949;41,1652400494
0,6591166826;0,6155359422;0,8310381356;41,0712759495
0,6108783481;0,6187599256;0,8209745763;41,0387170315
0,6459843393;0,6637600726;0,813559322;41,0847420692
0,6130729765;0,5978416917;0,8262711864;41,2258608341
0,6419746357;0,6290973779;0,8172669492;41,0726060867
0,6018704697;0,6415560988;0,8188559322;40,9482359886
0,6068525791;0,6570894728;0,8209745763;41,0289349556
0,6238182087;0,6334070157;0,8193855932;40,9878129959
0,6325934175;0,6459314222;0,8125;41,0436718464
0,6328674555;0,6033355212;0,8310381356;41,0110569
0,6068974423;0,6352649377;0,8230932203;41,0288500786
0,6247140352;0,6027359821;0,8278601695;41,0094690323
0,619535256;0,6037687078;0,8268008475;41,0135359764
0,6216280622;0,6336964869;0,8220338983;41,084346056
0,6253803422;0,615519291;0,8262711864;41,034799099
0,6126012583;0,6892412926;0,8151483051;41,1751580238
0,6180981503;0,6519886488;0,8193855932;41,0034890175
0,6012589613;0,6160587158;0,8294491525;41,0024921894
0,5953824484;0,6134195646;0,8320974576;41,4589250088
0,6005763428;0,6211359203;0,8310381356;41,0320551395
0,6129646003;0,6261018343;0,8273305085;41,0825178623
0,6167234057;0,5905212619;0,8257415254;41,0151689053
0,5932850838;0,6084877389;0,8246822034;41,0495579243
0,6238876136;0,5912391564;0,8352754237;41,0141019821
0,6072209056;0,6127237872;0,8246822034;41,0333189964
0,5827148624;0,6013391952;0,8299788136;41,2303209305
0,6067727169;0,6376456411;0,8215042373;41,1429378986
0,5804093255;0,623178993;0,8257415254;41,2438020706
