epoch;train_loss;val_loss;val_acc;dt
1;3,10698500514;2,99261349632;0,0463709677419;34,405246973
2;3,09870124936;2,98788718254;0,0539314516129;32,6368508339
3;3,09259598017;2,97959899902;0,0539314516129;31,6026010513
4;3,07988415718;2,94429736368;0,070564516129;33,0866031647
5;3,03891110897;2,85619659962;0,13810483871;34,5023739338
6;2,94329870343;2,67896677986;0,231350806452;31,7940969467
7;2,80257651806;2,43337014798;0,290322580645;31,2011950016
8;2,58871384263;2,17038599714;0,335181451613;31,7532429695
9;2,39386784792;2,02309583656;0,392137096774;31,9343738556
10;2,28880095422;2,13154948335;0,335181451613;33,4937698841
11;2,17898087502;1,8238869867;0,435987903226;33,3616809845
12;2,05640822172;1,79683150591;0,445564516129;33,9344520569
13;1,98302299201;1,71916573471;0,45060483871;35,4241638184
14;1,937452088;1,64503412285;0,489415322581;35,8204770088
15;1,89374214709;1,58662633165;0,504032258065;36,7471120358
16;1,84098008275;1,55861137375;0,514112903226;37,4018509388
17;1,81391039729;1,53058447376;0,532258064516;37,4457910061
18;1,78247071803;1,47741182966;0,54939516129;37,7128589153
19;1,7214132762;1,46962213516;0,547883064516;37,7901248932
20;1,67119874418;1,45691925095;0,553427419355;39,3305120468
21;1,68283741057;1,42945311723;0,570564516129;39,118336916
22;1,63999580741;1,42105385565;0,555443548387;41,1694011688
23;1,62648306012;1,35566366872;0,57560483871;41,3343939781
24;1,60196328163;1,31560848894;0,577116935484;42,2454109192
25;1,56681908578;1,32306104514;0,581653225806;41,0415458679
26;1,55182617486;1,35674626212;0,567540322581;43,0256009102
27;1,51619942069;1,28670754067;0,605846774194;42,8754839897
28;1,47313517213;1,25827560117;0,596774193548;43,1430120468
29;1,49240435213;1,22919785784;0,613911290323;42,9239439964
30;1,49621339053;1,22033610844;0,607862903226;43,2455852032
31;1,47057599247;1,19014935051;0,625504032258;43,7718360424
32;1,42881800473;1,19440786589;0,614919354839;43,3409318924
33;1,43044210881;1,1801404828;0,633568548387;43,8625299931
34;1,40763701826;1,19366658791;0,618447580645;43,5421969891
35;1,38972032577;1,15002174916;0,646673387097;43,9047920704
36;1,36981161386;1,21229386234;0,622983870968;43,6914010048
37;1,3644249177;1,15291360309;0,640625;43,6361811161
38;1,35471740872;1,0900901556;0,654737903226;44,4142968655
39;1,34064584851;1,10315807116;0,65372983871;43,9541208744
40;1,32702794135;1,08706455365;0,663306451613;44,0297510624
41;1,35622422338;1,07649708467;0,673387096774;44,0416181087
42;1,34000415891;1,06066043146;0,662802419355;43,948371172
43;1,29926233709;1,08326379522;0,667338709677;45,3976769447
44;1,27964828014;1,03874306909;0,685987903226;44,4077661037
45;1,28411462009;1,02634428874;0,681955645161;47,8305499554
46;1,27534185201;1,0569395721;0,676915322581;43,6629631519
47;1,26522866756;1,14115599086;0,645665322581;48,7530398369
48;1,24905396551;1,06080420652;0,664314516129;45,7816710472
49;1,26539475918;1,00912562782;0,686995967742;47,2291769981
50;1,26186104685;1,04997510872;0,670866935484;45,861987114
51;1,23218017787;1,01610047971;0,689516129032;47,0164978504
52;1,24440821379;1,01544110621;0,681955645161;46,1019220352
53;1,21105095983;0,988995851048;0,695564516129;46,8790528774
54;1,21727702677;0,96033227636;0,703629032258;51,8968250751
55;1,20306039512;0,96101252302;0,706149193548;43,6162588596
56;1,18091102988;1,01597645398;0,68497983871;51,6672561169
57;1,18227426857;0,981399689951;0,700100806452;44,8284521103
58;1,16814749211;0,964862356744;0,701612903226;48,9928982258
59;1,1800091061;1,00796101362;0,685483870968;45,5787200928
60;1,17579482853;0,948009742844;0,707157258065;48,009321928
61;1,15805088371;0,932308732502;0,715221774194;48,1220080853
62;1,15609007388;0,974139915839;0,707157258065;46,5655019283
63;1,16354126573;0,95920361242;0,703629032258;48,8235569
64;1,14011037081;0,945181081853;0,712197580645;48,0990099907
65;1,15327807695;0,943387985229;0,705141129032;48,3214848042
66;1,10418751448;0,929829979135;0,720766129032;47,1757781506
67;1,11510007083;0,910187948615;0,721774193548;43,870650053
68;1,13530777454;0,923454555773;0,705141129032;43,8975720406
69;1,11787472665;0,911015808582;0,724294354839;44,0906760693
70;1,13661011174;0,900424603974;0,720262096774;44,4089300632
71;1,08884811491;0,897266512917;0,726814516129;45,2605040073
72;1,09166996121;0,931630623917;0,704133064516;43,0001730919
73;1,09246476889;0,879871629419;0,732358870968;44,1417899132
74;1,08711359203;0,876624664953;0,730342741935;43,2403280735
75;1,07292480618;0,894382781559;0,726310483871;43,5826330185
76;1,06911359668;0,997243372663;0,690524193548;45,0009169579
77;1,07811187208;0,865683534934;0,735383064516;44,8392221928
78;1,0934213385;0,85797352512;0,729334677419;42,8876411915
79;1,07535799563;0,862089321979;0,738911290323;43,8967130184
80;1,07073217064;0,888334967917;0,726814516129;44,6430308819
81;1,06058296323;0,918814375035;0,718245967742;44,0443019867
82;1,0496873185;0,886972934488;0,729334677419;45,4281129837
83;1,05739182413;0,844808634731;0,744455645161;43,1216299534
84;1,06049143374;0,878870842438;0,732358870968;45,3288700581
85;1,0448804462;0,85974472665;0,73185483871;44,1500630379
86;1,03704206079;0,879097375178;0,722278225806;44,2618179321
87;1,01425658673;0,824430644512;0,747983870968;45,0698571205
88;1,01683069944;0,843057080142;0,740423387097;43,9176459312
89;1,03525125593;0,833590070086;0,740927419355;48,8472061157
90;1,0174778989;0,835004026371;0,739415322581;44,0140969753
91;1,02590495348;0,82908602876;0,739919354839;41,9918220043
92;1,01085658967;0,834423285338;0,741935483871;46,4379980564
93;0,982173166275;0,814724165586;0,750504032258;40,9510858059
94;0,960758879185;0,817656720838;0,750504032258;40,3836209774
95;1,00039261609;0,870896732615;0,73185483871;40,176527977
96;0,977063156664;0,833775475141;0,74747983871;39,4262120724
97;0,970149213374;0,846142207423;0,741431451613;39,4314949512
98;0,95957247749;0,856769854023;0,73185483871;38,7235100269
99;1,00713427931;0,819613444709;0,748487903226;38,908164978
100;0,973211733699;0,807916390319;0,754032258065;39,3150389194
101;0,9878964746;0,832091335327;0,740927419355;38,6879189014
102;0,941323084682;0,807622536536;0,757056451613;39,0572209358
103;0,963840133101;0,817076297537;0,748487903226;39,1296219826
104;0,98209947437;0,81215102538;0,75;39,0193879604
105;0,974633265883;0,78801785073;0,763608870968;39,8755609989
106;0,950269681215;0,821453971248;0,731350806452;38,8239889145
107;0,970495406985;0,786667304174;0,765120967742;41,1443960667
108;0,947323094904;0,794362954555;0,751008064516;41,3474810123
109;0,964001367688;0,799115303063;0,759576612903;41,4301438332
110;0,93780275479;0,798614430812;0,750504032258;42,7222671509
111;0,94957706511;0,804936760376;0,750504032258;42,5953838825
112;0,924092182368;0,779654548534;0,760080645161;42,2419159412
113;0,92145285517;0,792789205428;0,753528225806;42,8041810989
114;0,913636764437;0,806274283317;0,756048387097;42,2868790627
115;0,926840926111;0,787757107808;0,758568548387;42,4533901215
116;0,910867053419;0,786137197287;0,758568548387;41,5457129478
117;0,920148952305;0,777414282483;0,759576612903;43,101339817
118;0,905325958282;0,765283300031;0,761592741935;43,4884011745
119;0,896628445089;0,767865782784;0,765625;45,9775309563
120;0,899053323865;0,790120834785;0,757560483871;44,6416118145
121;0,899049683809;0,776970917179;0,758568548387;42,5712709427
122;0,934846834838;0,767280053708;0,757560483871;44,0901761055
123;0,903006198257;0,7653522453;0,764112903226;44,9455289841
124;0,90205568105;0,782378152494;0,764616935484;45,4747002125
125;0,907918469906;0,791428392933;0,754536290323;46,1230089664
126;0,899557490796;0,805037134117;0,75252016129;32,6079359055
127;0,909333308488;0,806986073332;0,75;32,8921749592
128;0,915026862472;0,77953495614;0,769153225806;32,9071421623
129;0,911567403078;0,803157897726;0,756552419355;31,2280099392
130;0,901592041552;0,761731910129;0,766633064516;31,286331892
131;0,893300130218;0,784232478949;0,755040322581;31,0735690594
132;0,885708319098;0,792476935252;0,754032258065;31,4884500504
133;0,907677515149;0,758576229695;0,766129032258;32,1340880394
