train_loss;val_loss;class_acc;dt;
1,01874223099;0,923476550157;0,764616935484;142,484200001;
0,832529918272;0,811835874344;0,774193548387;85,6233668327;
0,712848954244;0,760811850822;0,785786290323;84,9081151485;
0,684185813146;0,754496648384;0,786794354839;81,746062994;
0,697878371926;0,747671154409;0,788810483871;84,7920107841;
0,690504645689;0,743111567481;0,788810483871;84,3104372025;
0,700160264455;0,740588131673;0,789314516129;84,2958271503;
0,701123025331;0,739152070293;0,790826612903;84,5639009476;
0,687010914174;0,731903898188;0,793346774194;81,0971639156;
0,682184709901;0,739768272496;0,790826612903;74,1782109737;
0,685165628231;0,739360550569;0,790322580645;79,6624808311;
0,674947812388;0,735649618848;0,792842741935;81,1168859005;
0,669380669843;0,723002888728;0,792842741935;81,2364170551;
0,676779047087;0,731590116065;0,792338709677;81,168982029;
0,681977460353;0,721604903224;0,795866935484;81,8289339542;
0,680251460989;0,731426968537;0,792842741935;85,0512218475;
0,671796928579;0,729318997785;0,794858870968;88,4592578411;
0,682064569468;0,730784392502;0,793850806452;81,0110738277;
0,654539577715;0,726632118822;0,796370967742;80,978582859;
0,689533190716;0,720148361356;0,795362903226;84,9506940842;
0,697364486303;0,718966761394;0,796370967742;85,2964520454;
0,68046877951;0,729529208816;0,793850806452;88,2818779945;
0,665004262016;0,727272597256;0,795362903226;90,6103839874;
0,670146586963;0,725831170369;0,793850806452;90,933013916;
0,668410072723;0,723680739781;0,796370967742;88,9067060947;
0,662162652177;0,728773301352;0,793850806452;77,238409996;
0,683494982637;0,718241934281;0,795866935484;80,7540140152;
0,676677460728;0,723855673331;0,795866935484;74,1823141575;
0,673348393068;0,721676113622;0,796875;83,8767819405;
0,659854631375;0,72371625216;0,798891129032;90,8230731487;
0,677138469092;0,721637371459;0,79939516129;91,001844883;
0,674859302224;0,714169930062;0,79939516129;92,0368340015;
0,684977957197;0,71356776255;0,79939516129;88,5878360271;
0,694023709017;0,725834528863;0,796875;84,8266508579;
0,676069412152;0,718626979278;0,800907258065;84,9799818993;
0,663965332392;0,719442469413;0,799899193548;85,3504610062;
0,673053921393;0,719877350484;0,798387096774;88,4900670052;
0,66135143874;0,720592490545;0,79939516129;91,4395480156;
0,672445422917;0,718071946735;0,802923387097;89,8738620281;
0,66477221311;0,722212058784;0,798891129032;89,4782109261;
0,677639070028;0,71865198339;0,799899193548;82,5770840645;
0,668846728885;0,722177508537;0,800403225806;81,7611949444;
0,67622153774;0,719896824031;0,79939516129;82,5611188412;
0,684886591699;0,72035972767;0,799899193548;86,8144459724;
0,682753536958;0,721862355569;0,801411290323;90,4267969131;
0,667910395598;0,714945886549;0,798891129032;90,9515872002;
0,683015238166;0,717344140665;0,798387096774;86,8938579559;
0,677843604106;0,70867417788;0,802419354839;80,9699280262;
0,667124647203;0,721210787183;0,800403225806;84,4269759655;
0,669921450127;0,720339011952;0,800403225806;83,5998358727;
0,660366518196;0,71960840903;0,802419354839;83,51887393;
0,673268396278;0,717085328724;0,801411290323;84,0931341648;
0,666148278501;0,72111559296;0,801411290323;83,7297010422;
0,671663641202;0,719770729439;0,801411290323;80,5089139938;
0,684629144583;0,720450775224;0,800907258065;84,2307341099;
0,67486183324;0,720702418989;0,798891129032;83,4223790169;
0,673351427335;0,719088306578;0,801915322581;78,042484045;
0,682919942286;0,708268184673;0,805947580645;77,046931982;
0,680196803018;0,717121503078;0,803427419355;83,2453000546;
0,642681080555;0,716503140713;0,804435483871;83,6255488396;
0,695895774175;0,718874010652;0,804435483871;90,7961502075;
0,649200630727;0,713026622159;0,805947580645;90,3479437828;
0,683238080549;0,718988951465;0,804435483871;90,7409369946;
0,671027877694;0,719402272928;0,803427419355;89,7657251358;
0,675788995662;0,71975546252;0,803427419355;89,7481720448;
0,680797214643;0,718197940118;0,801915322581;89,4289870262;
0,652243093971;0,712088143791;0,805443548387;89,3027350903;
0,665557499767;0,720670646168;0,803427419355;87,2526390553;
0,696844591643;0,716120327135;0,805443548387;81,466604948;
0,661233147667;0,718800471433;0,803427419355;89,7117731571;
0,659832216405;0,710303455711;0,803931451613;89,4750070572;
0,672322649335;0,719361889062;0,800907258065;88,7414798737;
0,691975204885;0,712649122218;0,803931451613;90,0709748268;
0,682574004686;0,720699339133;0,801915322581;89,3754150867;
0,667641738519;0,718696157407;0,802923387097;86,337403059;
0,658073420571;0,720130593597;0,801915322581;86,6505510807;
0,659017728032;0,718800920326;0,802923387097;80,3519859314;
0,676544780276;0,720595311092;0,802923387097;90,6915040016;
0,674011925006;0,717674781311;0,802419354839;90,5595238209;
0,696388955401;0,714887808744;0,804435483871;90,52729702;
0,672910540585;0,71557922683;0,803931451613;90,3589730263;
0,677517816618;0,717407611537;0,802419354839;90,5977611542;
0,681657290698;0,718489467076;0,803427419355;90,0885710716;
0,65696368669;0,715037834238;0,803427419355;90,3954520226;
0,666846895389;0,719772277016;0,801411290323;90,6499750614;
0,682369261306;0,71711173347;0,801411290323;90,3906588554;
0,687051915452;0,709718453875;0,804939516129;91,0467832088;
0,65362394242;0,714487856435;0,803931451613;90,7782919407;
0,683269179787;0,714963180322;0,805947580645;90,5384299755;
0,679544550804;0,719132846416;0,802923387097;90,4127388;
0,671758249337;0,717670170688;0,804435483871;91,1943759918;
0,665996735644;0,716131068596;0,803931451613;87,4432389736;
0,665035436688;0,708371034632;0,801915322581;90,6420140266;
0,67815336711;0,716012268608;0,801915322581;90,7713398933;
0,656528938891;0,715029899119;0,803931451613;90,2709579468;
