training_loss;validation_loss;validation_accuracy;epoch_time
3,091942;2,977409;0,053158;30,040325
3,077596;2,964740;0,058947;29,975974
3,065497;2,947215;0,078421;29,525787
3,048333;2,904851;0,106316;29,668068
2,981458;2,754153;0,222632;29,866880
2,799788;2,439522;0,313158;29,601358
2,621002;2,272483;0,293684;29,881805
2,423192;2,058915;0,381579;29,865629
2,261915;1,916959;0,407895;29,542016
2,126609;1,825755;0,422632;29,997443
2,011418;1,698804;0,472105;29,616246
1,918463;1,678121;0,479474;29,731242
1,837743;1,587836;0,513158;29,707051
1,786764;1,568989;0,521579;29,514024
1,722886;1,471868;0,558421;29,549569
1,681729;1,399461;0,580000;29,530269
1,630728;1,404803;0,562632;29,604165
1,583712;1,329471;0,593158;29,664541
1,569581;1,287091;0,598947;29,504224
1,511743;1,296938;0,594211;29,374924
1,489146;1,254033;0,608421;29,470031
1,458391;1,337829;0,580000;29,637355
1,437381;1,216678;0,621579;29,376727
1,399871;1,172991;0,632632;29,796140
1,395263;1,182835;0,636316;29,266306
1,352810;1,139253;0,648421;29,773019
1,342785;1,109631;0,651053;29,372062
1,329225;1,196288;0,640000;29,772163
1,311893;1,139377;0,641053;29,644764
1,285324;1,125291;0,651579;29,445744
1,254933;1,104218;0,661053;29,432758
1,241037;1,075351;0,673684;29,795193
1,242775;1,075994;0,670000;29,411146
1,218216;1,029436;0,686842;29,688692
1,176733;1,025496;0,686316;29,515355
1,191170;1,004728;0,684211;29,232836
1,152455;1,032481;0,678421;29,408599
1,154313;0,996808;0,690526;29,655005
1,127542;0,975937;0,689474;29,189432
1,121003;0,983762;0,690000;29,760362
1,100493;0,943140;0,706842;29,624786
1,096664;0,965566;0,703684;29,283502
1,097464;0,967128;0,698947;29,518102
1,075000;0,958709;0,702632;29,435964
1,098227;0,955069;0,714737;29,451278
1,062273;0,961599;0,696316;29,402534
1,036908;0,944507;0,711053;29,533015
1,037469;0,918410;0,714211;29,679279
1,016349;0,914039;0,710000;29,104237
1,006235;0,960740;0,692632;29,142808
1,020323;0,899157;0,725263;29,648579
0,985173;0,872389;0,732105;29,646200
0,981674;0,918382;0,715789;29,051345
0,969822;0,871526;0,725789;29,179307
0,968621;0,875897;0,733158;29,456122
0,950331;0,859506;0,729474;29,473597
0,944783;0,904586;0,722105;29,054946
0,953392;0,901448;0,720000;29,374940
0,927423;0,892572;0,713684;29,355097
0,931257;0,851949;0,740526;29,794891
0,913931;0,887710;0,727368;28,962849
0,897840;0,858362;0,733158;29,570722
0,893997;0,867517;0,728947;29,225418
0,869950;0,866892;0,735263;29,228298
0,871690;0,890234;0,718421;29,207305
0,869606;0,861603;0,738421;29,617808
0,858722;0,841442;0,741579;29,508246
0,876669;0,833084;0,743684;29,225702
0,835837;0,869039;0,734211;29,736189
0,825997;0,851928;0,740000;29,198110
0,839331;0,815623;0,754211;29,301958
0,828764;0,808325;0,747895;29,614497
0,832565;0,837992;0,743158;29,089988
0,817027;0,824001;0,746842;29,139241
0,799139;0,795729;0,764737;29,562431
0,809317;0,835691;0,751579;29,158458
0,796838;0,796165;0,756842;29,462945
0,763824;0,859830;0,742632;29,214637
0,786210;0,801135;0,761053;29,508676
0,788164;0,803260;0,754211;29,529886
0,774752;0,833034;0,750000;29,130009
0,753307;0,821511;0,757895;29,466131
0,750041;0,821786;0,766842;29,417952
0,733436;0,842530;0,744211;29,131219
0,729751;0,807825;0,754211;29,339222
0,726752;0,837486;0,748947;29,157265
0,740389;0,842014;0,750526;29,487753
0,724299;0,778556;0,766842;28,999206
0,716015;0,814923;0,760526;29,279126
0,701954;0,764255;0,771053;29,623680
0,707452;0,776359;0,776842;29,065488
0,699651;0,778525;0,760000;29,540379
0,709147;0,784822;0,762632;29,284160
0,686325;0,781041;0,772632;29,281398
0,686961;0,768180;0,763158;29,082140
0,672854;0,815304;0,750000;29,116531
0,700997;0,807304;0,757368;29,341963
0,675113;0,831314;0,751053;29,843518
0,692878;0,769426;0,775789;29,023131
0,642338;0,758330;0,774737;29,351948
