training_loss;validation_loss;validation_accuracy;epoch_time
3.093239;2.964982;0.078947;26.461105
3.065321;2.936932;0.135263;27.205196
3.002261;2.777414;0.119474;27.583744
2.696920;2.256778;0.318947;28.765744
2.367876;1.960094;0.399474;28.614817
2.151528;1.901727;0.424737;28.890568
2.015041;1.737397;0.448947;29.514996
1.875280;1.667789;0.470526;29.782458
1.822387;1.567958;0.531053;29.645594
1.733423;1.524975;0.537368;29.929880
1.671650;1.425955;0.572105;29.881096
1.611173;1.382014;0.570000;30.088880
1.577541;1.331935;0.590000;30.103574
1.496640;1.268821;0.608947;31.083491
1.497462;1.303912;0.604211;30.381877
1.472763;1.235255;0.622105;30.304645
1.443246;1.189327;0.627895;30.063601
1.417750;1.189375;0.638947;29.904373
1.368602;1.168231;0.640526;30.135065
1.345767;1.182933;0.643158;30.016880
1.330225;1.166540;0.639474;30.043533
1.302008;1.098904;0.668421;30.301022
1.276941;1.131798;0.657895;31.621150
1.231943;1.083124;0.666316;31.817250
1.236370;1.069385;0.672632;31.491261
1.215118;1.063455;0.657368;31.910761
1.181058;1.004635;0.696316;31.027665
1.191793;1.023354;0.681579;31.509976
1.188407;0.977505;0.700526;31.228186
1.159182;1.015205;0.688421;30.880618
1.128900;0.942367;0.705789;30.991484
1.121364;0.976149;0.686316;31.332512
1.122727;0.991717;0.692105;32.765748
1.095828;0.994429;0.691053;33.309058
1.088702;0.936131;0.708421;33.318637
1.070779;0.923165;0.715263;33.496073
1.051735;0.949591;0.711579;34.535696
1.026638;0.926195;0.722105;34.889541
1.027765;0.909193;0.715789;33.853045
1.009076;0.915339;0.725789;35.089454
0.990967;0.874967;0.727895;38.663398
1.015808;0.903612;0.720000;36.533565
0.989764;0.865217;0.738947;36.841955
0.989871;0.853768;0.733158;36.676162
0.988762;0.896937;0.716316;37.596708
0.955966;0.861765;0.738421;37.606597
0.964202;0.858380;0.734211;44.360657
0.956094;0.864344;0.729474;45.492780
0.930395;0.863315;0.731053;45.300181
0.919193;0.839984;0.747368;41.670857
0.900401;0.893541;0.735263;43.126512
0.908440;0.822832;0.751579;44.181181
0.908762;0.824439;0.740000;45.654523
0.867489;0.837452;0.746316;43.144946
0.883690;0.839850;0.748421;40.212149
0.885521;0.818527;0.755789;36.070184
0.852933;0.840153;0.748421;35.243420
0.858694;0.785101;0.763158;34.389034
0.863494;0.791770;0.764211;33.648630
0.824661;0.795213;0.762105;34.485134
0.847171;0.779315;0.759474;33.707265
0.823280;0.795040;0.764737;33.494895
0.832574;0.808916;0.754737;33.401311
0.817042;0.774635;0.760000;33.337776
0.795316;0.798844;0.761579;35.650659
0.803264;0.777911;0.763158;33.095729
0.771990;0.802164;0.759474;32.958915
0.783368;0.771772;0.765263;33.143151
0.794822;0.796600;0.755789;33.084880
0.770517;0.768766;0.763158;32.567775
0.765313;0.757734;0.771579;33.043187
0.786309;0.762205;0.769474;32.250501
0.768025;0.792650;0.762632;31.939870
0.753596;0.752773;0.775789;32.046659
0.744921;0.788083;0.757895;31.904157
0.735404;0.771926;0.775263;32.165752
0.733410;0.742317;0.779474;31.945119
0.727757;0.770325;0.767368;32.160819
0.712980;0.748180;0.775263;32.087317
0.703364;0.741740;0.773684;32.014245
0.701107;0.769279;0.776842;32.561375
0.695833;0.774452;0.775789;34.853232
0.698370;0.747179;0.767895;34.848463
0.679279;0.759044;0.765789;33.393977
0.684731;0.747972;0.779474;34.803340
0.690137;0.760341;0.766842;32.875972
0.680259;0.774692;0.766842;32.824298
0.674162;0.762038;0.775263;33.019560
0.685413;0.745840;0.779474;34.334588
0.677075;0.858334;0.745263;32.444345
0.668377;0.721865;0.777368;32.751650
0.646464;0.791966;0.755263;32.611392
0.644404;0.780818;0.772105;32.288805
0.664838;0.777719;0.766842;32.874594
0.647973;0.766516;0.771579;32.791496
0.658503;0.742036;0.778421;33.534496
0.643496;0.741137;0.777895;32.733868
0.626893;0.744882;0.777895;32.956004
0.629874;0.733056;0.782632;32.940666
0.624571;0.743927;0.777368;32.129128
