training_loss;validation_loss;validation_accuracy;epoch_time
3.094344;2.973148;0.076064;28.633104
3.073308;2.952171;0.071277;28.563019
3.025568;2.805578;0.153191;28.469128
2.872946;2.577715;0.222340;28.455592
2.730464;2.426756;0.277660;28.286361
2.600152;2.263675;0.302660;28.685972
2.412886;2.043078;0.373936;28.423145
2.251465;1.890927;0.433511;28.471927
2.104692;1.834461;0.435638;28.493870
1.975294;1.678472;0.485638;28.256408
1.872384;1.610638;0.505319;28.556502
1.811362;1.564564;0.536702;28.276439
1.728504;1.469718;0.555851;28.276346
1.662818;1.485966;0.553191;28.260630
1.629235;1.439875;0.567021;28.255745
1.587219;1.360853;0.587766;28.298724
1.540619;1.301011;0.606915;28.538724
1.489944;1.295894;0.601596;28.549462
1.479564;1.217593;0.628191;28.733628
1.446866;1.235739;0.617553;28.310645
1.406482;1.264472;0.618085;28.297793
1.378907;1.167458;0.647872;28.474273
1.367234;1.244767;0.625000;28.510471
1.347701;1.219670;0.618085;28.267416
1.333875;1.187204;0.627128;28.275780
1.294848;1.086451;0.659574;28.291273
1.287883;1.083164;0.667553;28.317193
1.259856;1.051107;0.678723;28.438706
1.245617;1.064508;0.665426;28.286021
1.196543;1.019766;0.686702;28.356900
1.205223;1.057161;0.671277;28.288159
1.203401;1.019498;0.683511;28.283303
1.186383;1.032455;0.688298;28.275174
1.160483;1.022198;0.685638;28.273853
1.147662;0.976025;0.694681;28.290135
1.137497;0.960792;0.710106;28.347821
1.124391;0.943916;0.713298;28.243876
1.112304;0.990989;0.684574;28.308174
1.104084;0.942915;0.722340;28.281044
1.082465;0.953348;0.707979;28.325591
1.060504;0.938582;0.709043;28.231813
1.055129;0.906995;0.718617;28.289465
1.054714;0.968405;0.698404;28.336109
1.046055;0.923702;0.722340;28.245300
1.025742;0.906884;0.721809;28.253803
1.020861;0.921106;0.715957;28.384972
0.996816;0.877665;0.732447;28.281622
0.995856;0.887850;0.721809;28.273606
0.969324;0.912333;0.706915;28.319314
0.965624;0.858858;0.738830;28.266500
0.972922;0.848049;0.744681;28.373022
0.963081;0.859676;0.738298;28.364083
0.938085;0.828230;0.751064;28.541601
0.939263;0.861954;0.734574;28.272943
0.930637;0.889053;0.725532;28.421722
0.933546;0.836701;0.743617;28.330713
0.901241;0.853059;0.738298;28.270195
0.881906;0.849143;0.746277;28.252574
0.890443;0.800108;0.771277;28.283227
0.888048;0.851456;0.734574;28.307973
0.897958;0.833902;0.747340;28.235658
0.865287;0.832770;0.752128;28.252841
0.858081;0.818360;0.754255;28.298850
0.842580;0.817856;0.762766;28.283692
0.847505;0.790617;0.761702;28.251479
0.846186;0.802086;0.762234;28.304899
0.826230;0.842794;0.747340;28.259094
0.828498;0.794384;0.767021;28.278660
0.815101;0.774160;0.763298;28.283811
0.806124;0.790153;0.759574;28.489578
0.811838;0.807538;0.759574;28.292122
0.802304;0.812503;0.751596;28.282076
0.801678;0.794456;0.768617;28.284137
0.789374;0.802622;0.753191;28.317998
0.765719;0.816858;0.757979;28.331813
0.766946;0.846211;0.748936;28.318544
0.759471;0.798720;0.762766;28.270849
0.762061;0.808435;0.748936;28.289248
0.747205;0.770484;0.775532;28.264060
0.742881;0.783780;0.765957;28.294238
0.743796;0.762355;0.781383;28.329180
0.730897;0.796627;0.769149;28.257713
0.727692;0.787149;0.768617;28.323714
0.730046;0.770263;0.778191;28.286366
0.719535;0.790096;0.769149;28.336461
0.714649;0.790737;0.764894;28.403635
0.711204;0.801207;0.764362;28.326947
0.694852;0.805848;0.763298;28.308241
0.717563;0.767231;0.780851;28.406970
0.684639;0.784535;0.771277;28.357319
0.693238;0.794222;0.760106;28.409964
0.686160;0.780821;0.767021;28.429947
0.681302;0.798059;0.775532;28.279348
0.668728;0.798407;0.767553;28.280037
0.654444;0.784741;0.771277;28.309059
0.658193;0.787235;0.764894;28.278895
0.650721;0.766916;0.777128;28.335227
0.654902;0.737918;0.786702;28.315796
0.643771;0.798418;0.772340;28.249690
0.648357;0.748582;0.784043;28.274674
