training_loss;validation_loss;validation_accuracy;epoch_time
0,844056;0,782997;0,775000;17,257020
0,654029;0,778808;0,778000;17,042478
0,638608;0,776983;0,783000;16,939925
0,615177;0,771085;0,779000;17,108085
0,626757;0,779249;0,776000;17,097597
0,615580;0,790488;0,775500;17,127634
0,616895;0,774952;0,778000;17,082823
0,644265;0,778347;0,777500;17,252242
0,622071;0,768295;0,781500;17,094695
0,607525;0,767905;0,783500;17,128855
0,602549;0,766958;0,783000;16,967361
0,613987;0,766083;0,776000;16,933796
0,621233;0,765046;0,780500;17,024441
0,613216;0,761916;0,786000;16,938284
0,592950;0,764108;0,788000;17,104930
0,605890;0,778405;0,778500;16,867288
0,616379;0,777874;0,778000;17,092410
0,586303;0,783904;0,781500;16,856955
0,602874;0,776941;0,781500;17,112887
0,605810;0,771020;0,783000;16,833883
0,600211;0,770964;0,787500;17,083201
0,589815;0,765461;0,786000;16,816603
0,589512;0,763851;0,783000;17,062314
0,599627;0,762714;0,788500;17,200804
0,583108;0,771555;0,782500;16,818279
0,599842;0,774401;0,789500;17,088220
0,607329;0,770960;0,782000;16,944452
0,602239;0,766852;0,785000;17,128032
0,583768;0,761126;0,785000;16,857465
0,611176;0,765130;0,791000;17,083166
0,577843;0,760901;0,784000;16,912390
0,574045;0,770913;0,783500;16,966950
0,584163;0,765508;0,784000;16,957786
0,573883;0,760603;0,785500;17,048324
0,589076;0,778645;0,785000;17,122864
0,566920;0,778466;0,788500;16,900086
0,585710;0,783830;0,782500;17,047572
0,582215;0,771317;0,789500;17,144721
0,573715;0,775369;0,780500;16,917523
0,562256;0,772346;0,782500;17,001003
0,571319;0,772490;0,788000;17,051865
0,576666;0,764975;0,787500;16,823730
0,591242;0,767461;0,785500;17,110834
0,586714;0,765777;0,792000;17,084898
0,576804;0,773527;0,781000;16,856266
0,584136;0,771242;0,782500;17,082429
0,579805;0,768735;0,785500;16,942488
0,578305;0,773306;0,786000;17,065607
0,570026;0,773255;0,787000;16,857084
0,593378;0,775960;0,787500;17,076433
0,582509;0,755758;0,794500;16,904046
0,575381;0,763379;0,791500;16,963189
0,581783;0,764719;0,790000;16,880057
0,583558;0,772041;0,787500;17,086967
0,572930;0,761853;0,787000;16,965566
0,569855;0,757254;0,787500;17,105361
0,584843;0,768424;0,786500;17,091583
0,586727;0,763400;0,791500;17,112978
0,589547;0,754281;0,792500;17,081198
0,600263;0,766980;0,787500;16,850471
0,586129;0,760668;0,784000;17,091278
0,582197;0,768729;0,788000;16,967881
0,568043;0,778727;0,783000;16,864234
0,584070;0,771171;0,785500;17,082135
0,577627;0,781476;0,781500;17,100253
0,579342;0,757729;0,790000;16,811651
0,580845;0,773187;0,782000;17,040982
0,569481;0,775020;0,778000;16,910808
0,577231;0,773469;0,782000;17,096128
0,569242;0,774735;0,786000;17,001001
0,561241;0,776364;0,787500;16,863386
0,572204;0,764733;0,777500;17,094258
0,565022;0,772218;0,782000;17,169486
0,563483;0,769315;0,786500;16,947524
0,576265;0,769248;0,789000;17,091944
0,575405;0,775290;0,777500;16,909566
0,569817;0,767424;0,783500;16,848641
0,571429;0,782363;0,778000;17,093769
0,557541;0,759302;0,793500;17,089528
0,565409;0,765527;0,791500;16,805933
0,574736;0,770393;0,789000;17,078309
0,570865;0,773853;0,783000;16,810834
0,562723;0,765859;0,792000;17,080100
0,580996;0,769908;0,790000;16,889522
0,569502;0,761080;0,787000;17,176191
0,573087;0,766300;0,787000;16,999297
0,571777;0,761108;0,790500;17,075026
0,571716;0,764519;0,783000;16,949912
0,574329;0,779566;0,789000;17,104285
0,555517;0,776936;0,788000;16,876191
0,560805;0,765500;0,787000;17,041254
0,575276;0,764560;0,786000;16,903486
0,582269;0,763626;0,785000;17,063436
0,554595;0,765508;0,783500;17,121843
0,569153;0,774952;0,788000;16,949946
0,562151;0,768090;0,786000;17,083516
0,559576;0,771172;0,787500;16,958448
0,550156;0,765230;0,787500;17,019888
0,561374;0,764718;0,786500;16,836789
0,574280;0,777255;0,791500;17,081828
