training_loss;validation_loss;validation_accuracy;epoch_time
0,765347;0,720195;0,796000;17,091820
0,563362;0,716734;0,797000;17,023857
0,527151;0,709687;0,794500;17,196138
0,521799;0,715076;0,799500;16,790231
0,533314;0,722381;0,797500;17,099425
0,532502;0,721109;0,800500;16,853050
0,503123;0,722614;0,795500;16,820261
0,511406;0,720809;0,799500;16,983792
0,534494;0,712207;0,795000;16,910772
0,512084;0,718188;0,797500;17,018711
0,513528;0,731321;0,797500;16,804097
0,511407;0,722272;0,797000;16,865932
0,495875;0,718999;0,800500;16,968862
0,497367;0,722153;0,803000;16,803533
0,507620;0,722968;0,798000;17,292880
0,495799;0,717269;0,798000;17,296416
0,512933;0,723222;0,801000;16,849609
0,514631;0,722029;0,792500;17,100972
0,508259;0,723042;0,800000;16,832148
0,509805;0,725856;0,791500;16,921574
0,495695;0,727089;0,796500;16,926368
0,503042;0,725886;0,795000;16,806195
0,507720;0,723022;0,801000;16,813705
0,484015;0,728951;0,796500;17,071449
0,501018;0,727339;0,800500;16,832339
0,499228;0,723886;0,803500;16,939108
0,484862;0,723046;0,805500;16,889489
0,498555;0,720883;0,801000;17,130323
0,485305;0,715605;0,801500;16,830371
0,487947;0,726195;0,800000;16,844273
0,496596;0,719532;0,804500;16,840173
0,492774;0,715051;0,805000;17,011091
0,489373;0,717536;0,809000;16,954318
0,494222;0,724507;0,803000;16,855492
0,493270;0,723729;0,799500;16,878828
0,504677;0,720316;0,807500;16,962970
0,486434;0,724577;0,801500;16,955145
0,503596;0,721898;0,802000;16,847376
0,477662;0,730355;0,802000;17,029323
0,505135;0,730796;0,800500;16,801504
0,476159;0,721860;0,809000;16,875313
0,493094;0,731854;0,809500;16,967357
0,484717;0,721690;0,804000;16,816416
0,494645;0,729529;0,808000;16,962639
0,477227;0,723416;0,804500;16,798138
0,468182;0,727041;0,806500;16,842119
0,492873;0,721645;0,806500;16,794377
0,497145;0,722680;0,808500;16,896314
0,472320;0,725563;0,802500;17,007596
0,496452;0,723446;0,806500;16,791544
0,498619;0,722191;0,803000;16,824343
0,483859;0,720540;0,809000;16,847343
0,492860;0,725177;0,806000;16,954197
0,492086;0,724651;0,807500;16,799721
0,498316;0,723942;0,807500;16,809910
0,481247;0,732204;0,803000;17,025619
0,490639;0,730385;0,799500;16,815895
0,497919;0,730866;0,796000;16,816976
0,476515;0,732942;0,802500;16,870345
0,495380;0,731377;0,800000;16,952940
0,486697;0,725153;0,802000;16,798546
0,483921;0,716108;0,811500;16,814963
0,466697;0,716139;0,804000;17,020948
0,481743;0,726741;0,803000;16,909164
0,482607;0,722351;0,804000;16,851902
0,478319;0,725853;0,804500;16,810718
0,492553;0,720625;0,803500;16,962818
0,494805;0,726640;0,806000;16,813275
0,475523;0,721928;0,806500;17,089251
0,489101;0,726227;0,809000;16,797791
0,501326;0,720987;0,803000;16,826861
0,482887;0,727102;0,808500;16,802524
0,479572;0,720177;0,802500;16,837747
0,470405;0,713083;0,801500;17,021999
0,478442;0,723960;0,800000;16,799017
0,477075;0,719184;0,809000;16,807463
0,469516;0,727633;0,808500;16,830653
0,467922;0,736610;0,804000;16,885952
0,462944;0,720070;0,801500;16,891995
0,475417;0,733662;0,804500;17,140352
0,472003;0,732858;0,802500;16,901162
0,478199;0,734081;0,801500;16,817692
0,481265;0,737031;0,803500;16,805237
0,501411;0,732651;0,803000;16,797817
0,493618;0,725157;0,802500;16,804891
0,473532;0,734222;0,804000;17,001390
0,467260;0,735131;0,799500;16,823539
0,450718;0,729729;0,803000;16,859722
0,468642;0,732104;0,803000;16,958817
0,484112;0,736830;0,802000;16,869471
0,464054;0,739086;0,796500;16,948684
0,477089;0,732742;0,801500;16,837813
0,478469;0,723430;0,804000;16,914635
0,469437;0,728589;0,801500;16,990020
0,491995;0,738836;0,799000;16,862426
0,463515;0,748822;0,797500;16,817161
0,483124;0,726428;0,803500;16,880187
0,467943;0,730298;0,802500;17,041820
0,479422;0,740646;0,796500;16,893639
0,456791;0,734607;0,806500;16,886606
